funder,count,type,country,established
St. Paul's University,1,Education,Kenya,1903
Finnish National Board of Education,1,Government,Finland,1991
St. Patrick Roman Catholic Church,1,Other,United States,
St. Patrick Catholic High School,1,Education,United States,2007
St. Mary's College,1,Education,Japan,1953
Fundació Salut i Envelliment UAB,1,Nonprofit,Spain,2014
St. Louis County Historical Society,1,Archive,United States,1922
Chaohu University,1,Education,China,1977
Finnish Safety and Chemicals Agency,1,Government,Finland,
St. Lawrence Global Observatory,1,Facility,Canada,
St. Josefs Hospital,1,Healthcare,Germany,1876
Science & Technology Park (Czechia),1,Other,Czechia,
Finnish Society of Automation,1,Other,Finland,1953
St. John's College,1,Education,United States,1696
St. Helena Public Library,1,Archive,United States,1875
St. Helena Hospital Foundation,1,Nonprofit,United States,1987
St. Gregory the Theologian Charity Foundation,1,Nonprofit,Russia,2009
St. Cloud State University,1,Education,United States,1869
Science Applications International Corporation (United States),1,Company,United States,1969
Finnish Transport Agency,1,Other,Finland,2010
St. Catherine University,1,Education,United States,1905
St. Catharine College,1,Education,United States,1931
St Vincent’s Private Hospital Brisbane,1,Healthcare,Australia,1954
State Hydrological Institute,1,Facility,Russia,1919
Fernando Pessoa University,1,Education,Portugal,1996
Applied Natural Sciences,1,Other,United States,1993
Sten A Olsson Foundation for Research and Culture,1,Nonprofit,Sweden,1996
StemCyte,1,Other,United States,1997
Chase Foundation,1,Nonprofit,United States,1970
Apogee Technology (United States),1,Company,United States,1987
Steinbeis University Berlin,1,Education,Germany,1969
Chartered Institution of Water and Environmental Management,1,Nonprofit,United Kingdom,1895
Sarda (United States),1,Company,United States,2011
Stedelijk Museum Amsterdam,1,Archive,Netherlands,1874
Federal University of Recôncavo da Bahia,1,Education,Brazil,2005
AppScale (United States),1,Company,United States,2012
Statskog (Norway),1,Company,Norway,1860
Fundación Ciudad de la Energía,1,Other,Spain,2006
Federal University of São Carlos,1,Education,Brazil,1968
Sari Agricultural Sciences and Natural Resources University,1,Education,Iran,1974
Federal University of São João del-Rei,1,Education,Brazil,1987
Statistics New Zealand,1,Government,New Zealand,1956
Sarkeys Foundation,1,Nonprofit,United States,1962
Federal University of São Paulo,1,Education,Brazil,1933
Statistical Service,1,Government,Cyprus,1950
Saskatchewan Conservation Learning Centre,1,Nonprofit,Canada,1993
Stationers' Company,1,Nonprofit,United Kingdom,1403
Statens Arkivers,1,Archive,Denmark,1889
State of Rhode Island General Assembly,1,Government,United States,1775
Federal University of Tocantins,1,Education,Brazil,2000
State and University Library,1,Archive,Denmark,
Association for the Advancement of Educational Research,1,Nonprofit,United States,
Sarcos (United States),1,Company,United States,1983
Sarcoma UK,1,Nonprofit,United Kingdom,
Fundación Centro de Estudios Andaluces,1,Government,Spain,2001
ApoVax (United States),1,Company,United States,
Santosh University,1,Education,India,1995
Santé Montérégie,1,Healthcare,Canada,
Federal Scientific Center for Medical and Preventive Health Risk Management Technologies,1,Facility,Russia,1995
Chattanooga State Community College,1,Education,United States,1965
Federal Statistical Office,1,Government,Switzerland,1860
Fundación Empresa-Universidad Gallega,1,Nonprofit,Spain,1982
Federal Trade Commission,1,Government,United States,1914
Sanyu Africa Research Institute,1,Nonprofit,Uganda,2011
Federal University Foundation of Rio Grande,1,Education,Brazil,1969
Sapientia Hungarian University of Transylvania,1,Education,Romania,2001
Stichting Oogfonds Nederland,1,Nonprofit,Netherlands,1948
Stichting HIV Monitoring,1,Other,Netherlands,2001
Federal University of Alfenas,1,Education,Brazil,1914
Stf Technologies (United States),1,Company,United States,2013
Sapir College,1,Education,Israel,1963
Steven Winter Associates (United States),1,Company,United States,1972
Stetson University,1,Education,United States,1883
StereoVision Imaging (United States),1,Company,United States,2000
Sappi (Netherlands),1,Company,Netherlands,1936
Stephen Phillips Memorial Trust House in Salem,1,Archive,United States,1821
Sappi (South Africa),1,Company,South Africa,1936
Apis Flora (Brazil),1,Company,Brazil,1982
Federal University of Amazonas,1,Education,Brazil,1909
Association for the Development of Douro Viticulture,1,Nonprofit,Portugal,1982
Sarcoma Alliance for Research through Collaboration,1,Nonprofit,United States,2003
Centro Científico Tecnológico - Nordeste,1,Facility,Argentina,
Federal University of Western Pará,1,Education,Brazil,1970
Applied Genetics Laboratories,1,Facility,United States,1984
Satriwitthaya 2 School,1,Education,Thailand,1975
Saudi Arabia Basic Industries (Netherlands),1,Company,Netherlands,1976
State Research Institute Centre for Innovative Medicine,1,Facility,Lithuania,1945
Charlotte Christian College and Theological Seminary,1,Education,United States,1996
State Research Center for Applied Microbiology and Biotechnology,1,Facility,Russia,1974
State Protected Areas Service,1,Government,Lithuania,
Fundación CajaCanarias,1,Nonprofit,Spain,1984
State Oil Company of Azerbaijan Republic (Azerbaijan),1,Company,Azerbaijan,1992
Femto (Brazil),1,Company,Brazil,1988
"State Nature Reserve ""Bolshaya Kokshaga""",1,Other,Russia,
State Library of New South Wales,1,Archive,Australia,1826
State Laboratory,1,Facility,Ireland,1924
Saudi Aramco (United States),1,Company,United States,1933
Saudi Commission for Health Specialties,1,Government,Saudi Arabia,1992
Fenerbahçe University,1,Education,Turkey,2016
Fer Kladno (Czechia),1,Company,Czechia,1999
Applied Biological Materials (Canada),1,Company,Canada,2004
Applied Colloids (United States),1,Company,United States,
Saudi Heritage Preservation Society,1,Archive,Saudi Arabia,2010
Ferguson Library,1,Archive,United States,1882
Applied DNA Sciences (United States),1,Company,United States,2002
Applied Genetic Technologies (United States),1,Company,United States,1999
Association for Strengthening Agricultural Research in Eastern and Central Africa,1,Nonprofit,Uganda,1994
Fernando Domínguez (Spain),1,Company,Spain,1992
Association for Social and Environmental Development,1,Nonprofit,India,2001
Savantas Policy Institute,1,Other,China,2006
Fundación Cardiovascular de Colombia,1,Healthcare,Colombia,1986
Chartered Institute of Ecology and Environmental Management,1,Other,Canada,1991
Association for Women in Science,1,Other,United States,1971
State Research Institute of Highly Pure Biopreparations,1,Facility,Russia,1974
Fundación Centro de Educación Superior Investigación y Profesionalización,1,Nonprofit,Colombia,
Association for Women Geoscientists,1,Other,United States,1977
State University of Pará,1,Education,Brazil,1993
Sasken (India),1,Company,India,1989
Sasol (Germany),1,Company,Germany,1950
State University of Papua,1,Education,Indonesia,2000
State University of New York at Potsdam,1,Education,United States,1816
Federal Urdu University,1,Education,Pakistan,1949
Federation University,1,Education,Australia,1994
Federation of American Scientists,1,Nonprofit,United States,1945
Sasol (United Kingdom),1,Company,United Kingdom,1950
Satakunnan Korkean Teknologian Säätiö,1,Other,Finland,1990
Sathyabama Institute of Science and Technology,1,Education,India,1987
Federation of Environmental Trade Associations,1,Nonprofit,United Kingdom,
State University of Makassar,1,Education,Indonesia,1961
Appalachian Regional Commission,1,Government,Georgia,1965
Sativa Keřkov,1,Other,Czechia,1923
Federation of Finnish Learned Societies,1,Other,Finland,1899
State University of Feira de Santana,1,Education,Brazil,1976
Federazione Ordini Farmacisti Italiani,1,Other,Italy,
State Treasurer of South Carolina,1,Other,United States,
Fred J Brotherton Charitable Foundation,1,Nonprofit,United States,1997
State Street (United States),1,Company,United States,1792
State Scientific Center of Coloproctology,1,Healthcare,Russia,1835
State Science and Technology Institute,1,Nonprofit,United States,1996
Association Mitsinjo,1,Other,Madagascar,1999
Association Histiocytose France,1,Other,France,
Sport Wales,1,Other,Wales,1972
Scientific Systems (United States),1,Company,United States,1976
Archeologické Centrum Olomouc,1,Facility,Czechia,2003
Chalmers University of Technology,1,Education,Sweden,1829
Chai Found Music Workshop,1,Other,Taiwan,1991
South Dakota Board of Regents,1,Government,United States,
South Dakota Academy of Science,1,Other,United States,1915
South China Robotics Innovative Research Institute,1,Facility,China,
South China Normal University,1,Education,China,1933
South China National Centre of Metrology,1,Facility,China,1959
South China Municipal Engineering Design and Research Institute (China),1,Company,China,1954
Archer Daniels Midland (United States),1,Company,United States,1902
Scientific and Industrial Research and Development Centre,1,Facility,Zimbabwe,1993
Chadron State College,1,Education,Chad,1911
South China Institute Of Environmental Sciences,1,Nonprofit,China,1973
South Central University for Nationalities,1,Education,China,1951
Florida Turbine Technologies (United States),1,Company,United States,1998
South Carolina State University,1,Education,United States,1896
South Carolina Space Grant Consortium,1,Other,United States,1991
Archival Education and Research Institute,1,Education,United States,
Flow International Corporation (Germany),1,Company,Germany,1970
Fukuoka Institute of Health and Environmental Sciences,1,Healthcare,Japan,1949
Archives Cantonales Vaudoises,1,Archive,Switzerland,1798
Flowers Canada Growers,1,Nonprofit,Canada,
Fukui Prefectural University,1,Education,Japan,1992
Fujitsu (Japan),1,Company,Japan,1935
Fujifilm (Japan),1,Company,Japan,1934
Scientific Technologies Corporation (United States),1,Company,United States,1988
South Downs College,1,Education,United Kingdom,2007
South Australian Rock Lobster Advisory Council,1,Other,Australia,2002
Chamber and Offices Authorized Persons Engineering,1,Other,Czechia,1992
Southall Environmental Associates (United States),1,Company,United States,2009
Centro Nacional de Endemias,1,Healthcare,Sao Tome and Principe,
Chambre de Commerce et d'Industrie de Bourgogne Franche-Comté,1,Other,France,1972
Chambre de Commerce et d'Industrie Lyon Métropole Saint-Étienne Roanne,1,Other,France,1702
Arbor Vita (United States),1,Company,United States,1998
Florida Gulf Coast University,1,Education,United States,1991
South West College,1,Education,United Kingdom,
South University,1,Education,United States,1899
Scientific Research Institute of Goznak,1,Facility,Russia,1947
Florida Immigrant Coalition,1,Other,United States,1998
Centro Nacional de Información Geográfica,1,Facility,Spain,1989
South Metropolitan Technical and Further Education,1,Education,Australia,1898
South Karelia Central Hospital,1,Healthcare,Finland,
Scientific Research Institute of Optoelectronic Instrumentation,1,Facility,Russia,1969
South Holland Public Library,1,Archive,United States,1961
Arcadia Biosciences (United States),1,Company,United States,2002
South Florida Veterans Affairs Foundation for Research and Education,1,Nonprofit,United States,1990
South Florida State College,1,Education,United States,1965
Centro Nacional de Investigaciones de Café,1,Nonprofit,Colombia,1938
Scientific Research and Design Institute of Nitric Industry and Organic Synthesis Products,1,Facility,Russia,1943
South Eastern Finland University of Applied Sciences,1,Education,Finland,2017
Chambre de Commerce et d'Industrie Auvergne-Rhône-Alpes,1,Other,France,1964
Chambers Family Fund,1,Other,United States,1984
South East Physics Network,1,Other,United Kingdom,2008
South East European Research Centre,1,Nonprofit,Greece,2003
Scientists Center for Animal Welfare,1,Facility,United States,
FoU Södertörn,1,Facility,Sweden,1997
Southcentral Foundation,1,Nonprofit,United States,1982
Source BioScience (United Kingdom),1,Company,United Kingdom,2006
SoundRocket (United States),1,Company,United States,2004
Arctur (Slovenia),1,Company,Slovenia,1992
Fujian Star-net (China),1,Company,China,1996
Sorbian Institute,1,Archive,Germany,1992
Scott Instrument Company (United States),1,Company,United States,1953
Sophia University,1,Education,Japan,1913
Cerestech (Canada),1,Company,Canada,2001
Sony Corporation (United States),1,Company,United States,1960
ArcusGruppen (Norway),1,Company,Norway,1996
Fondation Leenaards,1,Nonprofit,Switzerland,1980
Songkhla Rajabhat University,1,Education,Thailand,1919
Sonata (United States),1,Company,United States,2009
Sonaca (Belgium),1,Company,Belgium,1978
Solvay (Germany),1,Company,Germany,1880
Fondation Neurodis,1,Nonprofit,France,2007
Solvay (Belgium),1,Company,Belgium,1863
Fondation Roger de Spoelberch,1,Nonprofit,Switzerland,
Asociación de Industrias Cárnicas,1,Nonprofit,Spain,1977
Soltigua (Italy),1,Company,Italy,1941
Solstício Energia (Brazil),1,Company,Brazil,2009
Fondation Rose et Jean Hoguet,1,Nonprofit,Belgium,1928
Fondation Université Française en Arménie,1,Education,Armenia,2000
"Scottish Alliance for Geoscience, Environment and Society",1,Nonprofit,Scotland,2007
Solid State Chemistry And Energy Lab,1,Facility,France,2013
Solid Ground,1,Nonprofit,United States,1974
Scotch Whisky Research Institute,1,Facility,United Kingdom,1979
Scope,1,Nonprofit,United Kingdom,1951
Asociación de Universidades Grupo Montevideo,1,Other,Uruguay,1991
ArcticZymes (Norway),1,Company,Norway,2009
Arctic Athabaskan Council,1,Government,Canada,2000
Scientists in School,1,Nonprofit,Canada,1989
Fujian University of Technology,1,Education,China,2002
Cerveceros de España,1,Other,Spain,1922
Certifer,1,Other,France,1997
South Asian Health Foundation,1,Nonprofit,United Kingdom,1999
Foller (Czechia),1,Company,Czechia,1998
South African Sugarcane Research Institute,1,Facility,South Africa,1925
Foment del Treball Nacional,1,Nonprofit,Spain,1771
South African Nuclear Energy Corporation (South Africa),1,Company,South Africa,1970
Fomex Team (Czechia),1,Company,Czech Republic,
Arctic Nutrition (Norway),1,Company,Norway,2011
South African National Energy Development Institute,1,Education,South Africa,
CertiCon (Czechia),1,Company,Czechia,1996
South African National AIDS Council,1,Government,South Africa,
Asociación de Investigación de la Industria Agroalimentaria,1,Nonprofit,Spain,1987
The Lynn Sage Foundation,1,Other,United States,2003
Cerner (Austria),1,Company,Austria,1986
South African Medical Association,1,Nonprofit,South Africa,1998
Fond du Lac Reservation,1,Other,United States,1854
Cermaq (Canada),1,Company,Canada,1986
South African Council for Planners,1,Other,South Africa,
Fondation Centaure,1,Facility,France,2007
Sciss (Sweden),1,Company,Sweden,2004
Fujian Tobacco Industry Limited Liability Company (China),1,Company,China,2003
Scientific Research Institute for Standardization and Unification,1,Facility,Russia,1956
Scientific Research Institute Elpa,1,Facility,Russia,1965
Science History Institute,1,Facility,United States,1982
Assemblée Nationale de France,1,Government,France,1958
"Science and Technology Corporation for Naval, Maritime and Riverine Industry Development",1,Government,Colombia,2000
Changes Community Health Project,1,Nonprofit,United Kingdom,1996
Spanish National Observatory,1,Facility,Spain,1790
Flanders Innovation and Entrepreneurship,1,Government,Belgium,
Flanders Institute for Logistics,1,Nonprofit,Belgium,2003
AquaTerra (United Kingdom),1,Company,United Kingdom,2005
Flanders Make (Belgium),1,Company,Belgium,2014
Spanish Clinical Research Network,1,Facility,Spain,2013
Assembly of First Nations,1,Government,Canada,1982
Spangle Associates,1,Company,United States,2008
Space and Naval Warfare Systems Command,1,Government,United States,
Fundacio Pere Tarres,1,Nonprofit,Spain,1957
Changchun Municipal Engineering Design and Research Institute (China),1,Company,China,1953
Aspide Medical (France),1,Company,France,1994
Fundacio Investigacio Hospital General Universitari De Valencia,1,Healthcare,Spain,1999
Fleishhacker Foundation,1,Nonprofit,United States,1947
Space Engineering University,1,Education,China,2017
Science and Technology Facilities Council,1,Government,United Kingdom,2007
Sozialwissenschaftliches Forschungszentrum Berlin-Brandenburg,1,Nonprofit,Germany,1991
Soweto CTC,1,Healthcare,South Africa,
Fundace,1,Nonprofit,Brazil,1995
Aspen Products Group (United States),1,Company,United States,2001
Southwest Wetlands Interpretive Association,1,Nonprofit,United States,1979
Science made simple,1,Other,United Kingdom,2002
"Science, Technology, Engineering and Mathematics Network",1,Nonprofit,United Kingdom,1996
Science and Technology Corporation (Netherlands),1,Company,Netherlands,
Fjord IT (Norway),1,Company,Norway,2011
Flemish Organization for Immovable Heritage,1,Other,Belgium,1965
Fundacio Privada Universitat I Tecnologia,1,Education,Spain,1993
Aqua Bio Technology (Norway),1,Company,Norway,2004
Fisheries Research Institute of Slovenia,1,Facility,Slovenia,1961
Spiritech Advanced Products (United States),1,Company,United States,2000
Aqua Procon (Czechia),1,Company,Czechia,1990
Changzhou Changchao Electronic Research Institute,1,Facility,China,1980
Changwon National University,1,Education,South Korea,1969
Science Museum,1,Archive,United Kingdom,1857
Changjiang Water Resources Commission,1,Government,China,1950
Fishing Has No Boundaries,1,Nonprofit,United States,1986
Association François Aupetit,1,Other,France,1982
Specto Natura,1,Company,United Kingdom,2008
Fishing Partnership Support Services,1,Nonprofit,United States,1997
Aqua Resources (United States),1,Company,United States,1999
Changhua County Public Health Bureau,1,Government,Taiwan,1961
Sparsholt College,1,Education,United Kingdom,1899
Sparks,1,Nonprofit,United Kingdom,1991
Fisioatual (Brazil),1,Company,Brazil,
Five Stones Research Corporation (United States),1,Company,United States,2006
Spar Nord Fonden,1,Other,Denmark,1990
Associated Research (United States),1,Company,United States,1936
Associated Fund Administrators (Botswana),1,Company,Botswana,1990
Associated Colleges of Central Kansas,1,Education,United States,1966
Assett (United States),1,Company,United States,2001
Spanish Society of Family and Community Medicine,1,Nonprofit,Spain,1982
AquaFence (Norway),1,Company,Norway,1999
Aquadyne (Norway),1,Company,Norway,1970
Southwest Mississippi Community College,1,Education,United States,1908
Chambre de Commerce et d'Industrie du Centre,1,Other,Tunisia,1892
Southern Fishermen Association,1,Other,Grenada,1993
Southern Environmental Law Center,1,Nonprofit,United States,1986
Florida Certification Board,1,Nonprofit,United States,
Florida Certified Organic Growers,1,Nonprofit,United States,1987
Florida College,1,Education,United States,1946
Southern California Institute of Architecture,1,Education,United States,1972
Arba Minch University,1,Education,Ethiopia,1986
Southern California Earthquake Center,1,Other,United States,1991
Arbec Forest Products (Canada),1,Company,Canada,1996
Southern California Alcohol and Drug Programs,1,Nonprofit,United States,1972
Southern Arkansas University,1,Education,United States,1909
Aspen Center For Physics,1,Nonprofit,United States,1962
Champaign Public Library,1,Archive,United States,1876
Arbeiterwohlfahrt München,1,Nonprofit,Germany,2004
Southern African Research and Innovation Management Association,1,Facility,South Africa,
Florida Department of Education,1,Government,United States,1870
Southeastern University,1,Education,United States,1935
Southeast Watershed Research Laboratory,1,Facility,United States,
Aspapel,1,Other,Spain,2004
Southeast University,1,Education,China,1902
Full Circle Research (United States),1,Company,United States,2013
Arbeitsgemeinschaft Gynäkologische Onkologie Studiengruppe,1,Nonprofit,Germany,1993
Southeast Clinical Oncology Research Consortium,1,Other,United States,
Scientific Research Engineering Institute,1,Facility,Russia,1941
Florida Department of Health,1,Government,United States,1996
"Scientific Research Institute ""Kulon""",1,Facility,Russia,2017
Scientific Centre of Monaco,1,Facility,Monaco,1960
Fund for Transforming Education in Kentucky,1,Nonprofit,United States,2013
Flemish Parliament,1,Government,Belgium,1980
"Arab Academy for Management, Banking and Financial Sciences",1,Education,Jordan,1985
Aquafarm Equipment (Norway),1,Company,Norway,2004
Fleury S.A. (Brazil),1,Company,Brazil,1926
Aqualinc (New Zealand),1,Company,New Zealand,
Southwest Bahia State University,1,Education,Brazil,1980
Southwest Badger Resource Conservation and Development Council,1,Other,United States,1992
Southside Community Land Trust,1,Nonprofit,United States,1981
Flex (Mauritius),1,Company,Mauritius,1969
Southern Union State Community College,1,Education,United States,1993
ScienceTomorrow (United States),1,Company,United States,
Sciences Po,1,Facility,France,1872
Flex (United States),1,Company,United States,1969
Changchun Bureau of Science and Technology,1,Government,China,
Flinn Foundation,1,Nonprofit,United States,1965
Fund for the City of New York,1,Nonprofit,United States,1968
Aspen Institute,1,Nonprofit,United States,1950
Southern Regional Education Board,1,Nonprofit,United States,1948
Flint Hills Regional Council,1,Government,United States,2010
Sciencetech (Canada),1,Company,Canada,1985
Southern New Hampshire University,1,Education,United States,1932
Aquaneers (United States),1,Company,United States,2016
Florida Academy of Science,1,Nonprofit,United States,1936
Aquion (Czechia),1,Company,Czechia,1993
Southern Luzon State University,1,Education,Philippines,1964
Chancellery of the Prime Minister,1,Government,Poland,1997
Florida Alliance for Assistive Services and Technology,1,Other,United States,1998
Feeding America,1,Nonprofit,United States,1979
Just Ecology (United Kingdom),1,Company,United Kingdom,1998
Euclid Techlabs (United States),1,Company,United States,1991
Adamson University,1,Education,Philippines,1932
Virginia G Piper Charitable Trust,1,Nonprofit,United States,1995
Virginia Foundation for the Humanities,1,Nonprofit,United States,1974
Dalsa Corporation,1,Company,Canada,1980
Virginia Department of Forensic Science,1,Government,United States,1974
Dam Foundation,1,Nonprofit,Norway,1994
AdaCore (France),1,Company,France,1994
Virginia Department of Agriculture and Consumer Services,1,Government,United States,1877
Adam Taliaferro Foundation,1,Other,United States,2001
Virginia Community College System,1,Education,United States,1966
Virginia Community Action Partnership,1,Nonprofit,United States,
Damascus Hospital,1,Healthcare,Netherlands,1947
Damascus University,1,Education,Syria,1923
Adams State University,1,Education,United States,1921
Virginia Air and Space Center,1,Education,United States,1992
Virgin Islands Humanities Council,1,Nonprofit,United States,1965
Actors Fund of America,1,Nonprofit,United States,1882
Vipharm (Poland),1,Company,Poland,2005
Vinidea,1,Company,Italy,
Vineland Research and Innovation Centre,1,Facility,Canada,1906
Dambari Wildlife Trust,1,Nonprofit,Zimbabwe,1997
Vinci (France),1,Company,France,1899
DanChurchAid,1,Nonprofit,Nepal,1922
Vincent Van Gogh Voor Geestelijke Gezondheidszorg,1,Healthcare,Netherlands,
Vilnius University of Applied Sciences,1,Education,Lithuania,2000
Dana Foundation,1,Nonprofit,United States,1950
Addex Therapeutics (Switzerland),1,Company,Switzerland,2002
VillageReach,1,Nonprofit,United States,2000
Danaher (United Kingdom),1,Company,United Kingdom,1969
Viken Skog (Norway),1,Company,Norway,1907
Coles County Historical Society,1,Nonprofit,United States,1830
Virginia Lakes and Watersheds Association,1,Nonprofit,United States,1982
Virginia Mason Institute,1,Nonprofit,United States,2008
Vietnam National Institute of Culture and Arts Studies,1,Facility,Vietnam,1971
Vista Analyse (Norway),1,Company,Norway,2000
Daimler and Benz Foundation,1,Other,Germany,1986
Voestalpine (Brazil),1,Company,Brazil,1938
Vodafone (Portugal),1,Company,Portugal,1992
Vodafone (Greece),1,Company,Greece,1991
Dairy Australia (Australia),1,Company,Australia,2003
Vocalize (Brazil),1,Company,Brazil,
Dairy Farmers Of Canada,1,Nonprofit,Canada,1934
Viva Hispanic Foundation NW,1,Nonprofit,United States,2001
DairyNZ,1,Nonprofit,New Zealand,2008
VitenWahl Andreas Wahl,1,Other,Norway,
Vitelic Technology (China),1,Company,China,2006
Vital Research,1,Facility,United States,1982
Vital Probes (United States),1,Company,United States,2000
Vita Green Health Products (China),1,Company,China,1993
Visions of Science Network for Learning,1,Nonprofit,Canada,1991
Virginia Mason Memorial,1,Healthcare,United States,1950
Visioncare Research,1,Company,United Kingdom,1992
Daiseung Medics (South Korea),1,Company,South Korea,1994
Vishera Nature Reserve,1,Archive,Russia,1991
Viscogel (Sweden),1,Company,Sweden,2008
Virta Laboratories (United States),1,Company,United States,2013
Viroclinics Biosciences (Netherlands),1,Company,Netherlands,2001
Dalarna University,1,Education,Sweden,1977
Dale Bumpers National Rice Research Center,1,Facility,United States,
Virginia Transportation Research Council,1,Government,United States,1948
Dalian Minzu University,1,Education,China,1997
Activation Laboratories,1,Company,Canada,1987
Active Bio Life Science (Germany),1,Company,Germany,
Dalian University of Technology,1,Education,China,1949
Dallas Historical Society,1,Archive,United States,1922
Colegiul National Mihai Eminescu,1,Education,Romania,
Danish Agriculture and Food Council,1,Government,Denmark,2009
Daimler (Germany),1,Company,Germany,1998
Ventura County Community College District,1,Education,United States,1962
Danish National Institute of Public Health,1,Government,Denmark,
Vernon College,1,Education,United States,1970
Vermont Space Grant Consortium,1,Other,United States,1992
Cognitive Neuroimaging Lab,1,Facility,France,
Adirondack Area Network,1,Other,United States,
Vermont Center for the Book,1,Nonprofit,United States,1985
Veris Technologies (United States),1,Company,United States,1996
Verdesian (United Kingdom),1,Company,United Kingdom,2012
Verband Sächsischer Bildungsinstitute,1,Other,Germany,1991
Danish Technological Institute,1,Nonprofit,Denmark,1906
Veolia (United States),1,Company,United States,1853
Veolia (India),1,Company,India,1853
Ventura County Medical Center,1,Healthcare,United States,1919
Ventura County Health Care Agency,1,Healthcare,United States,
Venice International University,1,Education,Italy,1995
Danish Ministry of Taxation,1,Government,Denmark,1987
Vemco (Canada),1,Company,Canada,1979
Velux Stiftung,1,Nonprofit,Switzerland,1980
Vehicle Games Public Utility Foundation Memorial Foundation,1,Other,Japan,1954
Danone (Czechia),1,Company,Czechia,1919
Vector Oncology (United States),1,Company,United States,2001
Danone (United Kingdom),1,Company,United Kingdom,1919
Vattenfall (Germany),1,Company,Germany,1909
Vassar College,1,Education,United States,1861
Vashon Partners (United States),1,Company,United States,2000
Varsinais-Suomen Sairaanhoitopiiri,1,Healthcare,Finland,
Varna University of Management,1,Education,Bulgaria,1992
Varian Medical Systems (United States),1,Company,United States,1948
Danube University Krems,1,Education,Austria,1994
Vannie E. Cook Jr. Cancer Foundation,1,Nonprofit,United States,1972
Verus Research (United States),1,Company,United States,2014
Vesuvius (France),1,Company,France,1704
Colegio Colombiano de Terapia Ocupacional,1,Nonprofit,Colombia,1972
Victorian Bar,1,Other,Australia,1884
Vietnam Atomic Energy Instiute,1,Government,Vietnam,1976
Adelphi Research,1,Nonprofit,Germany,2001
Viet Nam University Of Traditional Medicine,1,Education,Vietnam,2005
Danish Cardiovascular Research Academy,1,Education,Denmark,2003
Cold Spring Harbor Laboratory,1,Nonprofit,United States,1890
Vienna Institute for Urban Sustainability,1,Facility,Austria,1994
Danish Diabetes Association,1,Nonprofit,Denmark,1940
Danish Football Association,1,Other,Denmark,1889
Vidda Foundation,1,Nonprofit,United States,
Danish Gas Technology Centre (Denmark),1,Company,Denmark,1988
Danish Hydraulic Institute (India),1,Company,India,1964
Victorian Institute of Teaching,1,Government,Australia,2001
Danish Maritime Authority,1,Other,Denmark,1988
Victorian Curriculum and Assessment Authority,1,Government,Australia,2001
Adienne (Switzerland),1,Company,Switzerland,2004
Veterinarians Without Borders,1,Nonprofit,Canada,2001
Victoria School of Management,1,Education,Switzerland,2002
Victoria Park,1,Other,Canada,
Victoria International University,1,Education,Panama,2011
Victoria Heart Institute Foundation,1,Nonprofit,Canada,1988
Victor Valley College,1,Education,United States,1961
Vical (United States),1,Company,United States,1987
Danish Maritime Institute,1,Other,Denmark,
Danish Meteorological Institute,1,Facility,Denmark,1872
Veterinary and Agrochemical Research Centre,1,Facility,Belgium,1930
Danish Ministry of Children and Education,1,Government,Denmark,1916
Veterinary Medicines Directorate,1,Government,United Kingdom,1989
Veterinary Diagnostics Institute,1,Facility,United States,2006
Veterinary Biological and Research Institute,1,Facility,India,1944
Veterinary Anaesthesia Services (Switzerland),1,Company,Switzerland,2006
Volgograd State Technical University,1,Education,Russia,1930
Action Potential,1,Nonprofit,United States,
Deutsche Telekom (Hungary),1,Company,Hungary,1995
Washington Academy of Sciences,1,Nonprofit,United States,1898
DESE Research (United States),1,Company,United States,1982
DGPro,1,Other,Germany,1951
Académie Nationale des Sciences et Techniques du Sénégal,1,Government,Senegal,1999
Washington State Department of Early Learning,1,Government,United States,2006
DJ Associates (United States),1,Company,United States,1976
Académie de Paris,1,Education,France,1808
DJO Global (Germany),1,Company,Germany,2008
Washington Office on Latin America,1,Nonprofit,United States,1974
Washington Health Foundation,1,Nonprofit,United States,1992
Accademia di Belle Arti di Catanzaro,1,Education,Italy,1972
AccelLab (Canada),1,Company,Canada,
Washington County Schools,1,Education,United States,
Washington County Museum,1,Archive,United States,1956
Washington Center,1,Other,United States,1975
Waseda University,1,Education,Japan,1882
DBI - Gastechnologisches Institut,1,Other,Germany,
DK4,1,Other,Denmark,
Warsztat Innowacji Społecznych,1,Nonprofit,Poland,2012
Warsaw University of Life Sciences,1,Education,Poland,1816
Warrington Hospital,1,Healthcare,United Kingdom,1898
Accelerated Ag Technologies (United States),1,Company,United States,2015
DNA Consult Genética e Biotecnologia (Brazil),1,Company,Brazil,
Accenture (Switzerland),1,Company,Switzerland,1989
Walters State Community College,1,Education,United States,1970
Walter de Gruyter (Germany),1,Company,Germany,1749
Accenture (United Kingdom),1,Company,United Kingdom,1989
Walter Sisulu University,1,Education,South Africa,2005
DNA Diagnostic (Denmark),1,Company,Denmark,1992
Walter Reed Army Institute of Research,1,Government,United States,1953
Access Northern California,1,Nonprofit,United States,1998
DDC-I (United States),1,Company,United States,1985
Wasko (Poland),1,Company,Poland,1988
DNA Medicine Institute (United States),1,Company,United States,2004
Cégep de Saint-Laurent,1,Education,Canada,1847
Wayamba University of Sri Lanka,1,Education,Sri Lanka,1999
Wawasan Open University,1,Education,Malaysia,2006
WavEC Offshore Renewables,1,Nonprofit,Portugal,2003
Watsonville Wetlands Watch,1,Other,United States,
